sample	well	conc	dilution_factor	group_mean
liv1_bb_noSon_1	A4	3217.8937833076275	5	3217.8937833076275
liv1_bb_noSon_2	A5	3353.914024088795	5	3353.914024088795
liv1_bb_noSon_3	A6	3172.119678020107	5	3172.119678020107
liv1_bb_son_1	A1	3995.95121243213	5	3995.95121243213
liv1_bb_son_2	A2	3693.985341347253	5	3693.985341347253
liv1_bb_son_3	A3	3694.9006838730465	5	3694.9006838730465
liv1_tpx150_1	A10	3531.56934059572	5	3531.56934059572
liv1_tpx150_2	A11	3848.216340133031	5	3848.216340133031
liv1_tpx150_3	A12	3778.3321659770218	5	3778.3321659770218
liv1_tpx_1	A7	3605.3507568509212	5	3605.3507568509212
liv1_tpx_2	A8	3702.224587777732	5	3702.224587777732
liv1_tpx_3	A9	3552.4980585412554	5	3552.4980585412554
liv2_bb_noSon_1	B4	2752.474625644391	5	2752.474625644391
liv2_bb_noSon_2	B5	2841.665930052067	5	2841.665930052067
liv2_bb_noSon_3	B6	2701.4049071387863	5	2701.4049071387863
liv2_bb_son_1	B1	3517.020317845295	5	3517.020317845295
liv2_bb_son_2	B2	3280.8578828229647	5	3280.8578828229647
liv2_bb_son_3	B3	3176.603618031544	5	3176.603618031544
liv2_tpx150_1	B10	3279.9572804761233	5	3279.9572804761233
liv2_tpx150_2	B11	2372.9697068743244	5	2372.9697068743244
liv2_tpx150_3	B12	1741.6159660443552	5	1741.6159660443552
liv2_tpx_1	B7	3642.7777505291633	5	3642.7777505291633
liv2_tpx_2	B8	3496.1205953833564	5	3496.1205953833564
liv2_tpx_3	B9	3436.242417142884	5	3436.242417142884
liv3_bb_noSon_1	C4	1686.8525297333	5	1686.8525297333
liv3_bb_noSon_2	C5	1708.741515506124	5	1708.741515506124
liv3_bb_noSon_3	C6	1638.1019973661005	5	1638.1019973661005
liv3_bb_son_1	C1	2037.9887449549478	5	2037.9887449549478
liv3_bb_son_2	C2	1936.4909032041292	5	1936.4909032041292
liv3_bb_son_3	C3	1933.0871629830826	5	1933.0871629830826
liv3_tpx150_1	C10	3645.5184444891593	5	3645.5184444891593
liv3_tpx150_2	C11	3960.789251018086	5	3960.789251018086
liv3_tpx150_3	C12	3929.368114443762	5	3929.368114443762
liv3_tpx_1	C7	3199.9331330474183	5	3199.9331330474183
liv3_tpx_2	C8	3785.679602448103	5	3785.679602448103
liv3_tpx_3	C9	3667.454469454171	5	3667.454469454171
liv4_bb_noSon_1	D4	3263.7519658000933	5	3263.7519658000933
liv4_bb_noSon_2	D5	3288.964758567456	5	3288.964758567456
liv4_bb_noSon_3	D6	3217.8937833076275	5	3217.8937833076275
liv4_bb_son_1	D1	3826.127482786251	5	3826.127482786251
liv4_bb_son_2	D2	3767.314890264859	5	3767.314890264859
liv4_bb_son_3	D3	3682.088830082741	5	3682.088830082741
liv4_tpx150_1	D10	3793.9479413370395	5	3793.9479413370395
liv4_tpx150_2	D11	4216.304203316226	5	4216.304203316226
liv4_tpx150_3	D12	4378.298993555101	5	4378.298993555101
liv4_tpx_1	D7	3664.711448097498	5	3664.711448097498
liv4_tpx_2	D8	4148.238265912401	5	4148.238265912401
liv4_tpx_3	D9	4195.773046785831	5	4195.773046785831
liv5_bb_noSon_1	E4	3156.8803267475873	5	3156.8803267475873
liv5_bb_noSon_2	E5	3148.8162169170296	5	3148.8162169170296
liv5_bb_noSon_3	E6	3126.429649937531	5	3126.429649937531
liv5_bb_son_1	E1	3616.2993743611205	5	3616.2993743611205
liv5_bb_son_2	E2	3437.148611706739	5	3437.148611706739
liv5_bb_son_3	E3	3405.4510353193236	5	3405.4510353193236
liv5_tpx150_1	E10	3604.4385821706046	5	3604.4385821706046
liv5_tpx150_2	E11	3991.3219717531683	5	3991.3219717531683
liv5_tpx150_3	E12	3852.820528972764	5	3852.820528972764
liv5_tpx_1	E7	4159.415356196361	5	4159.415356196361
liv5_tpx_2	E8	4350.13807440676	5	4350.13807440676
liv5_tpx_3	E9	4267.700542731978	5	4267.700542731978
